date,sport,league,match,pick,pick_side,actual_result,actual_winner,won,probability,edge,volatility,confidence,odds,stake,profit,balance
2026-05-08,nba,NBA,Oklahoma City Thunder vs Los Angeles Lakers,Oklahoma City Thunder,home,home,Oklahoma City Thunder,True,0.5377,0.0377,0.2,BAJA,2.0,30.0,30.0,1030.0
2026-05-07,nba,NBA,Detroit Pistons vs Cleveland Cavaliers,Detroit Pistons,home,home,Detroit Pistons,True,0.5315,0.0315,0.2,BAJA,2.0,30.9,30.9,1060.9
2026-05-07,nba,NBA,San Antonio Spurs vs Minnesota Timberwolves,San Antonio Spurs,home,home,San Antonio Spurs,True,0.5442,0.0442,0.2,BAJA,2.0,31.83,31.83,1092.73
2026-05-06,nba,NBA,New York Knicks vs Philadelphia 76ers,New York Knicks,home,home,New York Knicks,True,0.536,0.036,0.2,BAJA,2.0,32.78,32.78,1125.51
2026-05-06,nba,NBA,Oklahoma City Thunder vs Los Angeles Lakers,Oklahoma City Thunder,home,home,Oklahoma City Thunder,True,0.5362,0.0362,0.2,BAJA,2.0,33.77,33.77,1159.27
2026-05-05,nba,NBA,New York Knicks vs Philadelphia 76ers,New York Knicks,home,home,New York Knicks,True,0.535,0.035,0.2,BAJA,2.0,34.78,34.78,1194.05
2026-05-05,nba,NBA,Detroit Pistons vs Cleveland Cavaliers,Detroit Pistons,home,home,Detroit Pistons,True,0.5329,0.0329,0.2,BAJA,2.0,35.82,35.82,1229.87
2026-05-05,nba,NBA,San Antonio Spurs vs Minnesota Timberwolves,San Antonio Spurs,home,away,Minnesota Timberwolves,False,0.5534,0.0534,0.2,MEDIA,2.0,36.9,-36.9,1192.98
2026-05-03,nba,NBA,Detroit Pistons vs Orlando Magic,Detroit Pistons,home,home,Detroit Pistons,True,0.5443,0.0443,0.2,BAJA,2.0,35.79,35.79,1228.77
2026-05-02,nba,NBA,Boston Celtics vs Philadelphia 76ers,Boston Celtics,home,away,Philadelphia 76ers,False,0.5412,0.0412,0.2,BAJA,2.0,36.86,-36.86,1191.9
2026-04-29,nba,NBA,New York Knicks vs Atlanta Hawks,New York Knicks,home,home,New York Knicks,True,0.5324,0.0324,0.2,BAJA,2.0,35.76,35.76,1227.66
2026-04-29,nba,NBA,Detroit Pistons vs Orlando Magic,Detroit Pistons,home,home,Detroit Pistons,True,0.5493,0.0493,0.2,BAJA,2.0,36.83,36.83,1264.49
2026-04-29,nba,NBA,San Antonio Spurs vs Portland Trail Blazers,San Antonio Spurs,home,home,San Antonio Spurs,True,0.5591,0.0591,0.2,MEDIA,2.0,37.93,37.93,1302.43
2026-04-28,nba,NBA,Boston Celtics vs Philadelphia 76ers,Boston Celtics,home,away,Philadelphia 76ers,False,0.544,0.044,0.2,BAJA,2.0,39.07,-39.07,1263.35
